100000,250.000000,50.000000,150.000000,0,0.041020,0.041667
100000,250.000000,50.000000,150.000000,1,0.459540,0.459201
100000,250.000000,50.000000,150.000000,2,0.239760,0.239167
100000,250.000000,50.000000,150.000000,3,0.125160,0.124566
100000,250.000000,50.000000,150.000000,4,0.065090,0.064878
100000,250.000000,50.000000,150.000000,5,0.034060,0.033791
100000,250.000000,50.000000,150.000000,6,0.017280,0.017599
100000,250.000000,50.000000,150.000000,7,0.008700,0.009166
100000,250.000000,50.000000,150.000000,8,0.004360,0.004774
100000,250.000000,50.000000,150.000000,9,0.002530,0.002487
100000,250.000000,50.000000,150.000000,10,0.001250,0.001295
100000,250.000000,50.000000,150.000000,11,0.000580,0.000675
100000,250.000000,50.000000,150.000000,12,0.000330,0.000351
100000,250.000000,50.000000,150.000000,13,0.000140,0.000183
100000,250.000000,50.000000,150.000000,14,0.000100,0.000095
100000,250.000000,50.000000,150.000000,15,0.000040,0.000050
100000,250.000000,50.000000,150.000000,16,0.000020,0.000026
100000,250.000000,50.000000,150.000000,17,0.000010,0.000013
100000,250.000000,50.000000,150.000000,18,0.000020,0.000007
100000,250.000000,50.000000,150.000000,19,0.000010,0.000004

